rrf_k,ndcg_at_10,mrr,recall_at_10,recall_at_50,precision_at_10
10,0.7209802554963551,0.9236328849721708,0.06274973428127223,0.2502373456951671,0.8283333333333334
20,0.7277196661751976,0.9229672629784237,0.0637162077775688,0.2502373456951671,0.83875
40,0.7294737830361261,0.9202692636397993,0.06392521475251968,0.2502373456951671,0.8450000000000001
60,0.7292812835249581,0.9204230334810692,0.06392521475251968,0.2502373456951671,0.8450000000000001
100,0.7290261668671629,0.9197806723699581,0.06399572614114186,0.2502373456951671,0.8454166666666667
200,0.7282452512290912,0.920685930306466,0.06393421820463394,0.2502373456951671,0.8450000000000001
