query_id,ndcg_at_10,mrr,recall_at_10,recall_at_50,precision_at_10
8,0.8337581973680339,1.0,0.10638297872340426,0.4787234042553192,1.0
11,1.0,1.0,0.007042253521126761,0.035211267605633804,1.0
13,0.7315449642824574,1.0,0.12280701754385964,0.5789473684210527,0.7
15,0.777419346918022,1.0,0.015050167224080268,0.0802675585284281,0.9
20,0.19169132872777628,0.5,0.07777777777777778,0.14444444444444443,0.7
23,0.7799082337019199,0.5,0.007328990228013029,0.039902280130293157,0.9
27,0.7241528458281337,1.0,0.02631578947368421,0.10818713450292397,0.9
35,0.3393113646945986,1.0,0.05232558139534884,0.25,0.9
37,0.7231461552741724,0.5,0.010935601458080195,0.0583232077764277,0.9
44,0.6384501831358455,1.0,0.04608294930875576,0.2119815668202765,1.0
48,0.8871958738785232,1.0,0.03546099290780142,0.17375886524822695,1.0
52,0.8611375561264454,1.0,0.006338028169014085,0.03380281690140845,0.9
59,1.0,1.0,0.06451612903225806,0.3161290322580645,1.0
67,1.0,1.0,0.01984126984126984,0.0992063492063492,1.0
72,1.0,1.0,0.06134969325153374,0.3006134969325153,1.0
78,0.5159958223394445,1.0,0.011723329425556858,0.05861664712778429,1.0
81,0.6985684928164696,1.0,0.045662100456621,0.2146118721461187,1.0
84,0.42829928983023013,1.0,0.023923444976076555,0.11483253588516747,0.5
87,1.0,1.0,0.04524886877828054,0.22624434389140272,1.0
90,0.9305687780632227,1.0,0.03734439834024896,0.17842323651452283,0.9
96,0.8611375561264454,1.0,0.03546099290780142,0.1595744680851064,1.0
100,0.6812984554196927,1.0,0.011083743842364532,0.0603448275862069,0.9
109,1.0,1.0,0.04048582995951417,0.20242914979757085,1.0
111,1.0,1.0,0.06451612903225806,0.3225806451612903,1.0
112,1.0,1.0,0.03759398496240601,0.18796992481203006,1.0
118,0.7799082337019198,1.0,0.046296296296296294,0.23148148148148148,1.0
119,0.9095430364058891,1.0,0.0273972602739726,0.136986301369863,1.0
134,0.302433606059993,1.0,0.040983606557377046,0.12295081967213115,0.5
138,0.7231461552741724,0.5,0.058823529411764705,0.2679738562091503,0.9
140,0.8188396408490943,1.0,0.08,0.392,1.0
142,0.0,0.07142857142857142,0.0,0.18666666666666668,0.0
144,0.9575861412006988,1.0,0.007558578987150416,0.03779289493575208,1.0
145,0.534946196960785,1.0,0.06153846153846154,0.2230769230769231,0.8
156,0.615553800033854,1.0,0.09259259259259259,0.4537037037037037,1.0
163,0.9510907186004267,1.0,0.10752688172043011,0.5161290322580645,1.0
170,0.9432379215722527,1.0,0.1,0.47,1.0
172,1.0,1.0,0.23809523809523808,1.0,1.0
174,0.0,0.0,0.0,0.0,0.0
189,0.5977825647360949,1.0,0.1111111111111111,0.3055555555555556,0.8
191,1.0,1.0,0.04608294930875576,0.2304147465437788,1.0
198,0.11072457036299094,0.3333333333333333,0.08333333333333333,0.4583333333333333,0.4
200,0.21428314091571035,1.0,0.012295081967213115,0.1721311475409836,0.3
201,1.0,1.0,0.10204081632653061,0.3877551020408163,1.0
203,0.5646671392534316,1.0,0.12048192771084337,0.6024096385542169,1.0
205,0.9510907186004267,1.0,0.10752688172043011,0.4946236559139785,1.0
208,1.0,1.0,0.0847457627118644,0.3305084745762712,1.0
213,0.9539959859595427,1.0,0.06474820143884892,0.22302158273381295,0.9
223,0.27523705411833854,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.2
224,0.6657149038169224,1.0,0.136986301369863,0.5342465753424658,1.0
228,0.9575861412006988,1.0,0.055248618784530384,0.27624309392265195,1.0
235,1.0,1.0,0.06535947712418301,0.3202614379084967,1.0
237,0.4373843179703889,1.0,0.046875,0.23958333333333334,0.9
257,0.7276427210494696,0.5,0.006711409395973154,0.020879940343027592,0.9
259,0.7799082337019199,0.5,0.014218009478672985,0.0679304897314376,0.9
260,1.0,1.0,0.20833333333333334,0.9791666666666666,1.0
265,0.9363792118010483,1.0,0.013333333333333334,0.044444444444444446,0.9
267,0.9296072198274722,1.0,0.06493506493506493,0.3051948051948052,1.0
269,0.5965377185773229,1.0,0.053763440860215055,0.20430107526881722,0.5
272,0.5298982599625925,1.0,0.05813953488372093,0.26744186046511625,0.5
276,1.0,1.0,0.0273972602739726,0.13424657534246576,1.0
277,0.0,0.05,0.0,0.1377551020408163,0.0
295,0.10524055623163354,0.25,0.022388059701492536,0.08208955223880597,0.3
297,0.03459113773405908,0.25,0.010101010101010102,0.3333333333333333,0.1
