query_id,ndcg_at_10,mrr,recall_at_10,recall_at_50,precision_at_10
0,0.867129177606588,1.0,0.0033156498673740055,0.016246684350132625,1.0
1,0.525566479279398,1.0,0.007052186177715092,0.03385049365303244,1.0
2,1.0,1.0,0.06329113924050633,0.310126582278481,1.0
3,0.8302785908224503,1.0,0.011658031088082901,0.04145077720207254,0.9
4,0.3475037665776643,1.0,0.031578947368421054,0.14736842105263157,0.6
5,0.9432379215722527,1.0,0.007639419404125287,0.03819709702062643,1.0
6,0.7975167679274937,1.0,0.08080808080808081,0.25252525252525254,0.8
7,0.9368077570869661,1.0,0.018691588785046728,0.06728971962616823,1.0
8,0.9537125187088151,1.0,0.10638297872340426,0.4787234042553192,1.0
9,1.0,1.0,0.006622516556291391,0.033112582781456956,1.0
10,1.0,1.0,0.056818181818181816,0.2727272727272727,1.0
11,1.0,1.0,0.007042253521126761,0.035211267605633804,1.0
12,0.9510907186004267,1.0,0.05649717514124294,0.24293785310734464,1.0
13,0.9363792118010483,1.0,0.15789473684210525,0.5789473684210527,0.9
14,1.0,1.0,0.006365372374283896,0.008274984086569064,1.0
15,0.8383354523103074,1.0,0.016722408026755852,0.0802675585284281,1.0
16,0.3909836149835922,1.0,0.03007518796992481,0.12030075187969924,0.8
17,0.8743705652481897,1.0,0.0970873786407767,0.3592233009708738,1.0
18,1.0,1.0,0.0364963503649635,0.18248175182481752,1.0
19,0.715550648768261,1.0,0.6,0.7,0.6
20,0.22328745018429322,0.5,0.08888888888888889,0.14444444444444443,0.8
21,0.4817173233924079,1.0,0.047244094488188976,0.047244094488188976,0.6
22,0.4108760479177879,1.0,0.03571428571428571,0.10204081632653061,0.7
23,1.0,1.0,0.008143322475570033,0.039902280130293157,1.0
24,0.7336207524107349,1.0,0.004761904761904762,0.023809523809523808,1.0
25,1.0,1.0,0.04329004329004329,0.21645021645021645,1.0
26,0.8480411588814945,1.0,0.0030422878004259203,0.014907210222087009,1.0
27,0.8043754776986981,1.0,0.029239766081871343,0.10818713450292397,1.0
28,1.0,1.0,0.03333333333333333,0.16666666666666666,1.0
29,0.0,0.03571428571428571,0.0,0.021739130434782608,0.0
30,0.8532721558012798,1.0,0.029411764705882353,0.14411764705882352,1.0
31,0.38477263377908816,0.5,0.017857142857142856,0.05952380952380952,0.3
32,0.46126213676303307,1.0,0.016483516483516484,0.016483516483516484,0.3
33,0.0,0.045454545454545456,0.0,0.01038961038961039,0.0
34,0.7357387513989937,0.5,0.012244897959183673,0.058503401360544216,0.9
35,0.5205876673674542,1.0,0.05813953488372093,0.25,1.0
36,1.0,1.0,0.0641025641025641,0.2564102564102564,1.0
37,0.5463577511378992,1.0,0.010935601458080195,0.0583232077764277,0.9
38,1.0,1.0,0.04716981132075472,0.19811320754716982,1.0
39,0.6113737423276703,1.0,0.06711409395973154,0.33557046979865773,1.0
40,0.8222819197760093,1.0,0.054878048780487805,0.29878048780487804,0.9
41,0.8437289933844667,1.0,0.125,0.4875,1.0
42,0.5262186426444176,1.0,0.10666666666666667,0.3333333333333333,0.8
43,0.768058792423946,1.0,0.009514747859181731,0.04567078972407231,1.0
44,0.6023343810309868,1.0,0.04608294930875576,0.2119815668202765,1.0
45,0.16000106733480846,0.3333333333333333,0.056074766355140186,0.14018691588785046,0.6
46,0.39512341095921427,1.0,0.058823529411764705,0.13725490196078433,0.6
47,1.0,1.0,0.1,0.49,1.0
48,1.0,1.0,0.03546099290780142,0.1702127659574468,1.0
49,0.84860265890399,1.0,0.06896551724137931,0.19827586206896552,0.8
50,0.41790628371374416,0.5,0.020460358056265986,0.09974424552429667,0.8
51,1.0,1.0,0.017006802721088437,0.08503401360544217,1.0
52,0.8611375561264454,1.0,0.006338028169014085,0.03380281690140845,0.9
53,1.0,1.0,0.01639344262295082,0.08032786885245902,1.0
54,0.8021416861745758,1.0,0.06521739130434782,0.32608695652173914,0.9
55,1.0,1.0,0.058823529411764705,0.29411764705882354,1.0
56,0.9266360779006401,1.0,0.03896103896103896,0.11688311688311688,0.9
57,0.9341831355350386,1.0,0.04736842105263158,0.1736842105263158,0.9
58,0.17775780671041563,0.5,0.018518518518518517,0.09259259259259259,0.3
59,1.0,1.0,0.06451612903225806,0.3161290322580645,1.0
60,0.7601931690056422,1.0,0.012345679012345678,0.12962962962962962,0.4
61,1.0,1.0,0.06172839506172839,0.10493827160493827,1.0
62,0.8544608792907805,1.0,0.06756756756756757,0.33783783783783783,1.0
63,0.8698739994728925,1.0,0.09433962264150944,0.4716981132075472,1.0
64,0.7255110530422874,1.0,0.06756756756756757,0.06756756756756757,0.5
65,0.6629048238356322,1.0,0.06535947712418301,0.3202614379084967,1.0
66,1.0,1.0,0.15625,0.78125,1.0
67,1.0,1.0,0.01984126984126984,0.0992063492063492,1.0
68,0.7477977995492201,1.0,0.05952380952380952,0.25595238095238093,1.0
69,0.725644933624645,1.0,0.04975124378109453,0.19900497512437812,1.0
70,0.9490593244271376,1.0,0.017892644135188866,0.09145129224652088,0.9
71,0.8969504402810679,1.0,0.07246376811594203,0.35507246376811596,1.0
72,1.0,1.0,0.06134969325153374,0.3006134969325153,1.0
73,0.8415908474314976,1.0,0.050314465408805034,0.22012578616352202,0.8
74,0.905945711515689,1.0,0.09523809523809523,0.38095238095238093,0.8
75,0.37079536829861864,0.5,0.051094890510948905,0.17518248175182483,0.7
76,0.41542028771529615,0.5,0.14545454545454545,0.4909090909090909,0.8
77,0.5415339198442375,0.5,0.01361573373676248,0.06202723146747353,0.9
