query_id,ndcg_at_10,mrr,recall_at_10,recall_at_50,precision_at_10
8,1.0,1.0,0.10638297872340426,0.4787234042553192,1.0
11,1.0,1.0,0.007042253521126761,0.035211267605633804,1.0
13,0.92663607790064,1.0,0.15789473684210525,0.8070175438596491,0.9
15,0.5821032065260976,1.0,0.016722408026755852,0.08361204013377926,1.0
20,0.0,0.0,0.0,0.0,0.0
23,0.7799082337019199,0.5,0.007328990228013029,0.039902280130293157,0.9
27,0.5226809559286546,1.0,0.014619883040935672,0.04678362573099415,0.5
35,0.3333333333333333,1.0,0.05813953488372093,0.27906976744186046,1.0
37,0.8103670991788406,1.0,0.012150668286755772,0.0583232077764277,1.0
44,0.4886484057047156,1.0,0.04608294930875576,0.21658986175115208,1.0
48,0.9235889866407062,1.0,0.031914893617021274,0.1595744680851064,0.9
52,1.0,1.0,0.007042253521126761,0.035211267605633804,1.0
59,1.0,1.0,0.06451612903225806,0.3225806451612903,1.0
67,1.0,1.0,0.01984126984126984,0.09722222222222222,1.0
72,0.790079912888246,1.0,0.06134969325153374,0.294478527607362,1.0
78,0.5159958223394445,1.0,0.011723329425556858,0.05861664712778429,1.0
81,0.5720634983558214,1.0,0.0319634703196347,0.1552511415525114,0.7
84,0.17685133166532602,0.3333333333333333,0.014354066985645933,0.05263157894736842,0.3
87,1.0,1.0,0.04524886877828054,0.21266968325791855,1.0
90,0.7104770117651426,0.5,0.03319502074688797,0.15767634854771784,0.8
96,0.9266360779006398,1.0,0.03546099290780142,0.16666666666666666,1.0
100,0.7722646900112077,1.0,0.011083743842364532,0.05788177339901478,0.9
109,1.0,1.0,0.04048582995951417,0.1862348178137652,1.0
111,0.7503359712972107,1.0,0.04516129032258064,0.11612903225806452,0.7
112,1.0,1.0,0.03759398496240601,0.18796992481203006,1.0
118,1.0,1.0,0.046296296296296294,0.23148148148148148,1.0
119,1.0,1.0,0.0273972602739726,0.136986301369863,1.0
134,0.21022462720689758,0.5,0.03278688524590164,0.09836065573770492,0.4
138,1.0,1.0,0.06535947712418301,0.3202614379084967,1.0
140,0.6560220682876617,1.0,0.08,0.376,1.0
142,0.0,0.02857142857142857,0.0,0.013333333333333334,0.0
144,0.9368077570869661,1.0,0.007558578987150416,0.03779289493575208,1.0
145,0.0,0.0,0.0,0.0,0.0
156,0.40350528806309466,1.0,0.08333333333333333,0.4444444444444444,0.9
163,0.5923509817175624,1.0,0.10752688172043011,0.3763440860215054,1.0
170,1.0,1.0,0.1,0.47,1.0
172,1.0,1.0,0.23809523809523808,0.7857142857142857,1.0
174,0.0,0.0,0.0,0.0,0.0
189,0.253051744996279,1.0,0.06944444444444445,0.16666666666666666,0.5
191,1.0,1.0,0.04608294930875576,0.2119815668202765,1.0
198,0.1512475248470618,1.0,0.0625,0.20833333333333334,0.3
200,0.5159958223394445,1.0,0.040983606557377046,0.18442622950819673,1.0
201,0.6578986223737446,1.0,0.061224489795918366,0.24489795918367346,0.6
203,0.5309679847321107,1.0,0.12048192771084337,0.6024096385542169,1.0
205,0.8039369346935541,1.0,0.10752688172043011,0.3548387096774194,1.0
208,0.6216966993238303,1.0,0.05084745762711865,0.16101694915254236,0.6
213,0.700792523443312,1.0,0.050359712230215826,0.15827338129496402,0.7
223,0.0,0.07692307692307693,0.0,0.16666666666666666,0.0
224,0.4294967142138019,1.0,0.0684931506849315,0.4246575342465753,0.5
228,1.0,1.0,0.055248618784530384,0.27071823204419887,1.0
235,0.8645073774981995,1.0,0.06535947712418301,0.32679738562091504,1.0
237,0.45543221177280524,1.0,0.041666666666666664,0.21875,0.8
257,1.0,1.0,0.007457121551081283,0.0343027591349739,1.0
259,1.0,1.0,0.01579778830963665,0.07424960505529225,1.0
260,1.0,1.0,0.20833333333333334,1.0,1.0
265,1.0,1.0,0.014814814814814815,0.06814814814814815,1.0
267,0.9210170671588803,1.0,0.05194805194805195,0.3051948051948052,0.8
269,0.20511666732794356,0.5,0.021505376344086023,0.043010752688172046,0.2
272,0.6531466953037821,1.0,0.06976744186046512,0.3488372093023256,0.6
276,1.0,1.0,0.0273972602739726,0.11506849315068493,1.0
277,0.14803244260441856,0.5,0.015306122448979591,0.07653061224489796,0.3
295,0.0,0.0,0.0,0.0,0.0
297,0.0,0.058823529411764705,0.0,0.010101010101010102,0.0
309,0.6216966993238303,1.0,0.23076923076923078,0.3076923076923077,0.6
311,0.082864269361516,0.3333333333333333,0.0036968576709796672,0.022181146025878003,0.2
314,0.280497653419673,1.0,0.05673758865248227,0.2765957446808511,0.8
335,1.0,1.0,0.23809523809523808,0.6190476190476191,1.0
355,1.0,1.0,0.3333333333333333,0.7666666666666667,1.0
358,0.0445522620988773,0.25,0.008849557522123894,0.07079646017699115,0.1
362,0.9305687780632227,1.0,0.04017857142857143,0.12946428571428573,0.9
375,0.31833954895937183,0.5,0.014492753623188406,0.05314009661835749,0.3
376,0.9580860089774809,1.0,0.00700770847932726,0.0350385423966363,1.0
381,0.7759944384848244,1.0,0.1,0.35,0.8
382,0.470018260101859,1.0,0.18181818181818182,0.7636363636363637,1.0
389,0.2478071166684839,0.25,0.01238390092879257,0.08668730650154799,0.4
393,1.0,1.0,0.13333333333333333,0.5866666666666667,1.0
397,1.0,1.0,0.020366598778004074,0.09979633401221996,1.0
399,1.0,1.0,0.14705882352941177,0.5441176470588235,1.0
