query_id,ndcg_at_10,mrr,recall_at_10,recall_at_50,precision_at_10
47,1.0,1.0,0.1,0.5,1.0
48,0.9539959859595427,1.0,0.031914893617021274,0.17375886524822695,0.9
49,0.2895229882348574,1.0,0.017241379310344827,0.034482758620689655,0.2
50,0.44543485764594054,1.0,0.02557544757033248,0.0792838874680307,1.0
51,1.0,1.0,0.017006802721088437,0.08503401360544217,1.0
52,0.7799082337019199,0.5,0.006338028169014085,0.03450704225352113,0.9
53,0.8899541168509599,1.0,0.014754098360655738,0.08032786885245902,0.9
54,0.709250357604863,1.0,0.07246376811594203,0.35507246376811596,1.0
55,1.0,1.0,0.058823529411764705,0.29411764705882354,1.0
56,0.8572048559638626,1.0,0.03463203463203463,0.1038961038961039,0.8
57,1.0,1.0,0.05263157894736842,0.13157894736842105,1.0
58,0.0,0.06666666666666667,0.0,0.10493827160493827,0.0
59,1.0,1.0,0.06451612903225806,0.3161290322580645,1.0
60,0.6770161563940769,1.0,0.009259259259259259,0.13271604938271606,0.3
61,0.6140056738569695,1.0,0.018518518518518517,0.018518518518518517,0.3
62,0.4708367407764341,1.0,0.06756756756756757,0.33783783783783783,1.0
63,0.9432379215722527,1.0,0.09433962264150944,0.4716981132075472,1.0
64,0.7562335516812246,1.0,0.06756756756756757,0.06756756756756757,0.5
65,0.7153586163609841,1.0,0.06535947712418301,0.32679738562091504,1.0
66,1.0,1.0,0.15625,0.78125,1.0
67,1.0,1.0,0.01984126984126984,0.0992063492063492,1.0
68,0.4464744406963734,1.0,0.02976190476190476,0.24404761904761904,0.5
69,0.16723668802798958,0.5,0.029850746268656716,0.19402985074626866,0.6
70,0.9408803699566423,1.0,0.017892644135188866,0.09741550695825049,0.9
71,0.5439878515895755,1.0,0.07246376811594203,0.35507246376811596,1.0
72,1.0,1.0,0.06134969325153374,0.3006134969325153,1.0
73,1.0,1.0,0.06289308176100629,0.1509433962264151,1.0
74,0.8405693022268141,1.0,0.08333333333333333,0.5595238095238095,0.7
75,0.44530545700115604,1.0,0.051094890510948905,0.1386861313868613,0.7
76,0.4083511998754102,0.5,0.14545454545454545,0.5272727272727272,0.8
77,0.6943559465628251,1.0,0.015128593040847202,0.07564296520423601,1.0
78,0.5159958223394445,1.0,0.011723329425556858,0.05744431418522861,1.0
79,0.0,0.08333333333333333,0.0,0.3047619047619048,0.0
80,0.6795457322063618,1.0,0.05102040816326531,0.25510204081632654,1.0
81,0.2804976534196729,0.5,0.0365296803652968,0.2191780821917808,0.8
82,0.20707222044135487,1.0,0.009174311926605505,0.05963302752293578,0.6
83,0.7104770117651426,0.5,0.08247422680412371,0.23711340206185566,0.8
84,0.4651229064849437,0.5,0.03827751196172249,0.09090909090909091,0.8
85,0.31488013066763093,1.0,0.018867924528301886,0.02830188679245283,0.2
86,0.4912702058131042,1.0,0.07246376811594203,0.36231884057971014,1.0
87,1.0,1.0,0.04524886877828054,0.22624434389140272,1.0
88,0.06581686446496139,0.25,0.009259259259259259,0.027777777777777776,0.1
89,0.6202809958335096,1.0,0.07352941176470588,0.3382352941176471,1.0
90,0.7799082337019199,0.5,0.03734439834024896,0.2033195020746888,0.9
91,0.20562106504881755,0.2,0.008955223880597015,0.05223880597014925,0.6
92,0.7948833326720564,1.0,0.04819277108433735,0.0783132530120482,0.8
93,0.3890432073263897,1.0,0.03619909502262444,0.12669683257918551,0.8
94,0.5322996497667224,1.0,0.06666666666666667,0.3333333333333333,1.0
95,0.3333333333333333,1.0,0.012269938650306749,0.06012269938650307,1.0
96,0.7196669022633795,1.0,0.03546099290780142,0.1773049645390071,1.0
97,1.0,1.0,0.05102040816326531,0.25510204081632654,1.0
98,1.0,1.0,0.08849557522123894,0.4247787610619469,1.0
99,1.0,1.0,0.09009009009009009,0.44144144144144143,1.0
100,0.7320172443711889,1.0,0.011083743842364532,0.0603448275862069,0.9
101,0.3530268013098345,1.0,0.03088803088803089,0.1274131274131274,0.8
