query_id,ndcg_at_10,mrr,recall_at_10,recall_at_50,precision_at_10
0,0.8572775237534389,1.0,0.0033156498673740055,0.016246684350132625,1.0
1,0.43520911604735624,1.0,0.006346967559943582,0.03385049365303244,0.9
2,1.0,1.0,0.06329113924050633,0.310126582278481,1.0
3,0.8913319177463098,1.0,0.011658031088082901,0.04145077720207254,0.9
4,0.2551978300255667,1.0,0.03684210526315789,0.14736842105263157,0.7
5,0.9575861412006988,1.0,0.007639419404125287,0.03819709702062643,1.0
6,0.7799082337019198,0.5,0.09090909090909091,0.25252525252525254,0.9
7,0.5462577848766289,1.0,0.011214953271028037,0.06728971962616823,0.6
8,1.0,1.0,0.10638297872340426,0.4787234042553192,1.0
9,1.0,1.0,0.006622516556291391,0.033112582781456956,1.0
10,0.955830517697074,1.0,0.056818181818181816,0.2727272727272727,1.0
11,1.0,1.0,0.007042253521126761,0.035211267605633804,1.0
12,0.9086768598011256,1.0,0.05649717514124294,0.24293785310734464,1.0
13,0.955830517697074,1.0,0.17543859649122806,0.5789473684210527,1.0
14,0.7778721720600672,1.0,0.004455760661998727,0.008274984086569064,0.7
15,0.7437677542157901,1.0,0.016722408026755852,0.0802675585284281,1.0
16,0.3988587452558647,1.0,0.03007518796992481,0.12030075187969924,0.8
17,0.7817956026658199,1.0,0.0970873786407767,0.3592233009708738,1.0
18,1.0,1.0,0.0364963503649635,0.18248175182481752,1.0
19,0.3526637384340434,0.3333333333333333,0.4,0.7,0.4
20,0.25439752615094074,1.0,0.07777777777777778,0.14444444444444443,0.7
21,0.3256530037357305,1.0,0.023622047244094488,0.047244094488188976,0.3
22,0.4259082959157029,1.0,0.05102040816326531,0.10204081632653061,1.0
23,0.9305687780632227,1.0,0.007328990228013029,0.039902280130293157,0.9
24,0.7309989523023463,1.0,0.004761904761904762,0.023809523809523808,1.0
25,1.0,1.0,0.04329004329004329,0.21645021645021645,1.0
26,1.0,1.0,0.0030422878004259203,0.014907210222087009,1.0
